"name","description","sys_created_on","sys_created_by"
"Additional  profile info","Additional profile user info","2022-04-22 06:48:26","PBI Editor"
"admin admin ds","description897ccc","2022-07-17 21:53:30","PBI Admin"
"admin data source","descrip","2022-07-17 21:34:59","k.bukhtiiarova@alpha-serve.com"
"Admin's data source","description","2022-05-19 03:22:08","PBI Admin"
"catalog","","2022-07-18 06:18:31","k.bukhtiiarova@alpha-serve.com"
"Data Source with changes","Data Source description","2022-07-14 20:02:59","k.bukhtiiarova@alpha-serve.com"
"Data Source with changes 2","","2022-07-14 20:04:23","PBI Admin"
"Data Source with changes 3","","2022-07-14 20:07:31","PBI Editor"
"Data Source with changes 4","","2022-07-14 20:13:40","k.bukhtiiarova@alpha-serve.com"
"Demo test data source","description","2022-05-06 04:11:58","PBI Admin"
"editor ds","description","2022-07-17 22:11:53","PBI Editor"
"Editors datasource","","2022-05-19 05:52:50","PBI Editor"
"Editors list Janurary 2022","List of users who can edit this datasource","2022-04-22 06:56:06","PBI Editor"
"Engineer","desc","2022-04-08 05:08:15","PBI Editor"
"ETB table with broken fields","","2022-07-14 20:21:16","k.bukhtiiarova@alpha-serve.com"
"First Datasource","3 tables. 130 fields total - Use display values","2022-04-13 05:52:18","PBI Admin"
"Incident","","2022-07-06 05:38:11","l.topchyi@alpha-serve.com"
"Incidents","","2022-06-29 04:13:11","l.topchyi@alpha-serve.com"
"Incidents","","2022-07-21 03:47:31","l.topchyi@alpha-serve.com"
"Knowledge","","2022-07-15 07:19:46","PBI Editor"
"Newest products list","Newwest products for Janurary - February 2022","2022-04-22 06:43:50","k.bukhtiiarova@alpha-serve.com"
"Newscomers Summer 2022","","2022-07-14 21:32:31","k.bukhtiiarova@alpha-serve.com"
"PBI Admin123","test description test 3458","2022-04-12 09:30:55","PBI Admin"
"Product Models","Product models for comparison","2022-04-13 05:37:26","k.bukhtiiarova@alpha-serve.com"
"Sales Spring 2022","Active sales","2022-04-12 09:33:40","PBI Editor"
"Second DataSource","6 tables; ~300 fields total","2022-04-13 05:53:58","k.bukhtiiarova@alpha-serve.com"
"ServiceNow Analytics","","2022-06-15 01:55:19","PBI Admin"
"ServiceNow data source","For knowledge base export","2022-04-25 15:44:32","k.bukhtiiarova@alpha-serve.com"
"Simple data source","","2022-04-13 03:45:20","PBI Admin"
"Table for Regression","For testing purpose","2022-04-13 03:39:07","PBI Admin"
"test 123","","2022-07-15 06:59:36","k.bukhtiiarova@alpha-serve.com"
"Test Backend Data Source","","2022-07-15 07:09:53","PBI Editor"
"Test Backend Data Source","Test Backend Data Source description","2022-06-13 22:08:49","k.bukhtiiarova@alpha-serve.com"
"Test Backend Data Source","Test Backend Data Source description","2022-07-12 21:50:30","k.bukhtiiarova@alpha-serve.com"
"Test cmdb","","2022-05-19 05:10:02","PBI Admin"
"Test Data Source","Description for Test Data Source","2022-07-14 07:28:46","PBI Editor"
"Test Data Source","","2022-07-17 22:37:21","PBI Admin"
"Test Data Source Admin SERV updated","Description for Test Data Source updated","2022-07-14 07:38:32","k.bukhtiiarova@alpha-serve.com"
"Test Data Source Admin updated","Description for Test Data Source updated","2022-07-14 07:35:15","PBI Admin"
"Test Data Source updated","Test Data Source description updated","2022-06-13 21:45:56","k.bukhtiiarova@alpha-serve.com"
"Test Data Source with Rows Limit","","2022-07-15 06:28:17","k.bukhtiiarova@alpha-serve.com"
"Test Data Source with Rows Limit","ddd","2022-07-14 08:17:27","PBI Admin"
"Test Data Source with Rows Limit","","2022-07-13 22:37:16","k.bukhtiiarova@alpha-serve.com"
"Test Data Source with Use display value","","2022-07-14 08:01:24","PBI Editor"
"Test non-access Data Source","","2022-07-14 18:55:39","k.bukhtiiarova@alpha-serve.com"
"Test non-access Data Source","","2022-06-13 22:22:53","PBI Admin"
"Test non-access DataSource","","2022-04-08 05:03:23","PBI Admin"
"Test Test table121","1111","2022-04-11 01:47:29","PBI Admin"
"test with broken","test","2022-04-08 05:15:30","k.bukhtiiarova@alpha-serve.com"
"testincident","des","2022-04-10 23:58:18","admin"
"Third DataSource","10 tables; ~500 fields total","2022-04-13 06:04:31","k.bukhtiiarova@alpha-serve.com"
"wsao","","2022-07-14 19:49:16","k.bukhtiiarova@alpha-serve.com"
